
[Name]
finFluid1

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
2.42089573e-02, -2.78038159e-02, -6.75110659e-03, 3.00000000e+02
1.94812547e-02, -2.78038178e-02, -8.30849633e-03, 3.00000000e+02
2.35990230e-02, -2.77585052e-02, -5.98596921e-03, 3.00000000e+02
2.41564028e-02, -2.07963795e-03, -6.44041738e-03, 3.07875244e+02
2.03385185e-02, -9.16641322e-04, -9.88812558e-03, 3.08271332e+02
2.04171501e-02, -8.23776645e-04, -6.09901641e-03, 3.07019806e+02
2.37881560e-02, -5.75800717e-04, -9.82015487e-03, 3.09089447e+02
2.45580673e-02, -5.21704904e-04, -7.87843019e-03, 3.08811005e+02
2.04147026e-02, -3.04826275e-02, -9.35629942e-03, 3.00000000e+02
2.10340098e-02, 6.41531078e-04, -1.03423540e-02, 3.09569244e+02
1.94314085e-02, 3.94023402e-04, -8.86089914e-03, 3.08966583e+02
2.36231331e-02, -4.63554723e-04, -5.87049779e-03, 3.08719482e+02
2.40779687e-02, 4.71831940e-04, -9.57699586e-03, 3.09813812e+02
2.45635286e-02, 4.86601843e-04, -7.50620430e-03, 3.09532104e+02
1.97167061e-02, 4.91256244e-04, -6.77576149e-03, 3.08387695e+02
2.32110377e-02, -3.20048742e-02, -6.48314552e-03, 3.00000000e+02
2.11339295e-02, 3.46450601e-04, -5.42933261e-03, 3.08438171e+02
2.02689022e-02, -3.37494947e-02, -8.74585472e-03, 3.00000000e+02
2.25533210e-02, -3.38190831e-02, -9.85451601e-03, 3.00000000e+02
2.39523742e-02, -3.37617546e-02, -8.65694229e-03, 3.00000000e+02
2.33027842e-02, -3.37522179e-02, -6.66106027e-03, 3.00000000e+02
2.17192993e-02, 5.32141537e-04, -5.32271434e-03, 3.08914886e+02
2.32621059e-02, 4.75004315e-04, -5.66771487e-03, 3.09023956e+02
2.06149369e-02, -3.36329564e-02, -6.56785956e-03, 3.00000000e+02
2.21324917e-02, -3.36602069e-02, -5.99109195e-03, 3.00000000e+02
1.95138156e-02, 1.64685620e-03, -8.88360944e-03, 3.09496460e+02
2.22444702e-02, 2.09358032e-03, -1.05970064e-02, 3.11192139e+02
2.41463315e-02, 2.09713983e-03, -9.54211038e-03, 3.11537964e+02
2.12929286e-02, 1.91762962e-03, -5.38909482e-03, 3.09350739e+02
2.45762710e-02, 2.16760067e-03, -7.37746665e-03, 3.10916687e+02
2.02768743e-02, 2.73079122e-03, -9.94576141e-03, 3.10739990e+02
2.34108772e-02, 2.67217960e-03, -1.02405967e-02, 3.12165375e+02
2.03400571e-02, 2.69177672e-03, -6.01489237e-03, 3.09511963e+02
2.45554559e-02, 2.69329851e-03, -8.42940435e-03, 3.11779053e+02
2.41072755e-02, 2.71690404e-03, -6.40005339e-03, 3.10862457e+02
2.27434430e-02, 2.99413619e-03, -5.47024282e-03, 3.10339294e+02
1.93299521e-02, 3.81951104e-03, -8.00339039e-03, 3.10742493e+02
2.13520266e-02, 4.02901182e-03, -1.05513390e-02, 3.12368805e+02
2.00897474e-02, 4.96118749e-03, -9.86267719e-03, 3.12539703e+02
2.40455642e-02, 4.52449266e-03, -9.64889396e-03, 3.13089813e+02
1.95413716e-02, 5.18930238e-03, -7.28189433e-03, 3.11119110e+02
2.15508137e-02, 5.23499958e-03, -1.06146727e-02, 3.13489532e+02
2.31650397e-02, 5.01387333e-03, -1.03062065e-02, 3.13390045e+02
2.21992228e-02, 5.00814524e-03, -5.46273775e-03, 3.11131195e+02
2.45454814e-02, 4.98779956e-03, -8.57599452e-03, 3.13230164e+02
2.42334157e-02, 4.94561577e-03, -6.47628633e-03, 3.12670776e+02
2.04256047e-02, 6.22440316e-03, -6.02575485e-03, 3.11532776e+02
1.95458028e-02, 6.26677414e-03, -8.97866488e-03, 3.12735901e+02
2.31792908e-02, 7.33252848e-03, -1.03283124e-02, 3.15416016e+02
1.95706952e-02, 7.53666367e-03, -7.05921091e-03, 3.12620728e+02
2.27228142e-02, 6.62321597e-03, -5.41723147e-03, 3.12805054e+02
2.45413557e-02, 7.40471343e-03, -8.26988090e-03, 3.14643738e+02
2.38512941e-02, 7.35576591e-03, -6.24664547e-03, 3.13411377e+02
2.01567877e-02, 8.31866171e-03, -9.78094060e-03, 3.14291351e+02
2.16301680e-02, 8.69167596e-03, -1.05343563e-02, 3.15880676e+02
1.95942763e-02, 8.78366828e-03, -7.27409124e-03, 3.13390625e+02
2.32357979e-02, 8.48802365e-03, -1.02987494e-02, 3.16242950e+02
2.46038921e-02, 8.44064355e-03, -8.50233249e-03, 3.15747681e+02
2.41608601e-02, 8.35188199e-03, -6.53128047e-03, 3.14511597e+02
2.03465912e-02, 9.76850372e-03, -5.99818537e-03, 3.14292236e+02
1.95126198e-02, 9.75331292e-03, -9.03117936e-03, 3.15365784e+02
2.32215300e-02, 1.08964955e-02, -1.03301499e-02, 3.17782806e+02
2.27635652e-02, 1.01293726e-02, -5.44841355e-03, 3.15088959e+02
1.94784440e-02, 1.10509014e-02, -7.08497036e-03, 3.15415161e+02
2.45433673e-02, 1.09071080e-02, -8.24910961e-03, 3.16815857e+02
2.39235740e-02, 1.09139206e-02, -6.20785216e-03, 3.16346710e+02
2.01553348e-02, 1.18887080e-02, -9.78201907e-03, 3.16967010e+02
2.15410348e-02, 1.23616243e-02, -1.05750198e-02, 3.18361389e+02
2.31559854e-02, 1.19209206e-02, -1.04126846e-02, 3.18892334e+02
1.94417145e-02, 1.20636690e-02, -7.33365770e-03, 3.16073761e+02
2.45135967e-02, 1.19449580e-02, -8.63682851e-03, 3.17814178e+02
2.41486188e-02, 1.19661726e-02, -6.45407289e-03, 3.17351257e+02
2.03500129e-02, 1.31910006e-02, -6.05160138e-03, 3.16419830e+02
1.96362138e-02, 1.31923333e-02, -9.01834387e-03, 3.17427795e+02
2.13510208e-02, 1.44378096e-02, -1.05242068e-02, 3.19825226e+02
1.95833333e-02, 1.42845493e-02, -9.21633467e-03, 3.18957520e+02
2.45624185e-02, 1.42381983e-02, -8.63477681e-03, 3.19920135e+02
2.02286858e-02, 1.44206714e-02, -6.07033027e-03, 3.17385193e+02
2.22032871e-02, 1.39388172e-02, -5.41826384e-03, 3.17297180e+02
2.26867534e-02, 1.51748266e-02, -1.07940333e-02, 3.22338928e+02
1.92850754e-02, 1.52567532e-02, -8.20523500e-03, 3.18786011e+02
2.39804424e-02, 1.52587760e-02, -6.27335859e-03, 3.19207092e+02
2.14555617e-02, 1.55049264e-02, -5.42361615e-03, 3.18379913e+02
2.12140065e-02, 1.62153933e-02, -1.05504273e-02, 3.21198547e+02
2.45437939e-02, 1.56017477e-02, -8.79168138e-03, 3.20724152e+02
1.95884574e-02, 1.60751771e-02, -6.92772074e-03, 3.18630615e+02
1.94767322e-02, 1.63078737e-02, -8.95712338e-03, 3.20205811e+02
2.13555470e-02, 1.65813528e-02, -5.42871747e-03, 3.19110016e+02
2.14123614e-02, 1.73340142e-02, -1.05033796e-02, 3.21882446e+02
2.36817505e-02, 1.73488501e-02, -9.99812502e-03, 3.22633209e+02
2.44538374e-02, 1.73033699e-02, -9.29730106e-03, 3.22696075e+02
2.46335603e-02, 1.72276385e-02, -8.00544117e-03, 3.21676880e+02
1.94316916e-02, 1.77082177e-02, -7.53333885e-03, 3.19895538e+02
2.38073468e-02, 1.72677357e-02, -6.10205485e-03, 3.20707428e+02
2.44936254e-02, 1.72512066e-02, -6.90363301e-03, 3.21529327e+02
2.15374660e-02, 1.85575373e-02, -1.04078585e-02, 3.22296722e+02
2.38197241e-02, 1.83421634e-02, -1.00411698e-02, 3.23961304e+02
2.45587751e-02, 1.82211809e-02, -7.16912840e-03, 3.22270691e+02
2.15369985e-02, 1.82460900e-02, -5.32769179e-03, 3.20679688e+02
1.99328549e-02, 1.85057539e-02, -6.24665665e-03, 3.20523163e+02
2.38912776e-02, 1.83570497e-02, -6.13707863e-03, 3.21485382e+02
2.06088033e-02, 1.89508442e-02, -5.75920753e-03, 3.20639221e+02
1.95077378e-02, 1.84632223e-02, -7.09414948e-03, 3.20375122e+02
1.98167153e-02, 1.91031266e-02, -9.55515262e-03, 3.22696838e+02
2.35539507e-02, 1.90699399e-02, -5.78288827e-03, 3.22424622e+02
2.35431436e-02, 1.99020449e-02, -1.01741320e-02, 3.24725494e+02
2.21782457e-02, 1.89945437e-02, -5.32356231e-03, 3.21224976e+02
2.45546307e-02, 1.94031168e-02, -7.11956946e-03, 3.23545868e+02
2.44895630e-02, 2.01424733e-02, -8.95041600e-03, 3.24886230e+02
1.94403306e-02, 1.97506379e-02, -8.67816992e-03, 3.22374054e+02
1.93510354e-02, 1.98570862e-02, -7.61518721e-03, 3.22105896e+02
2.07370296e-02, 2.08646785e-02, -1.03531675e-02, 3.24626434e+02
1.94821190e-02, 2.09387857e-02, -8.86185747e-03, 3.23502594e+02
2.39374209e-02, 2.09614299e-02, -6.27540750e-03, 3.23642609e+02
2.02161148e-02, 2.09522769e-02, -6.00511441e-03, 3.21976807e+02
2.19090376e-02, 2.26553176e-02, -1.06365522e-02, 3.26285461e+02
2.42050737e-02, 2.26838477e-02, -9.55368672e-03, 3.26674774e+02
1.98084321e-02, 2.27058008e-02, -9.55159962e-03, 3.25131744e+02
1.94471646e-02, 2.28030756e-02, -6.90941652e-03, 3.23903656e+02
2.30289456e-02, 2.26890221e-02, -5.51589159e-03, 3.24254089e+02
2.21953895e-02, 2.40323599e-02, -9.98766068e-03, 3.24812439e+02
2.45509613e-02, 2.34986898e-02, -7.21423607e-03, 3.26117615e+02
2.39606649e-02, 2.40072254e-02, -8.83193500e-03, 3.25617310e+02
1.93549469e-02, 2.36028861e-02, -8.29483755e-03, 3.24782715e+02
2.10949332e-02, 2.42095962e-02, -1.02473246e-02, 3.26008789e+02
2.38902215e-02, 2.44320966e-02, -9.89018474e-03, 3.27820038e+02
2.05992609e-02, 2.39583906e-02, -6.68204995e-03, 3.22389252e+02
1.95381138e-02, 2.44322922e-02, -9.01976787e-03, 3.26486511e+02
2.22334359e-02, 2.45052539e-02, -1.07924929e-02, 3.28840729e+02
2.46112235e-02, 2.44323220e-02, -7.48061761e-03, 3.27011108e+02
2.47740392e-02, 2.44656261e-02, -8.84818751e-03, 3.29237061e+02
1.93322524e-02, 2.40602940e-02, -7.38599431e-03, 3.24881683e+02
2.00986695e-02, 2.44318563e-02, -9.90131311e-03, 3.26562592e+02
2.28822585e-02, 2.44618282e-02, -1.07171470e-02, 3.29537689e+02
2.34904513e-02, 2.46382710e-02, -1.06150499e-02, 3.29773834e+02
2.19670068e-02, 2.38820333e-02, -5.33151953e-03, 3.24474945e+02
1.99753363e-02, 2.44358927e-02, -6.02566497e-03, 3.24917023e+02
2.36817133e-02, 2.42651626e-02, -6.28752960e-03, 3.24944397e+02
2.09812839e-02, 2.44413223e-02, -5.43102995e-03, 3.24959961e+02
2.28309575e-02, 2.44813208e-02, -5.26070129e-03, 3.26186371e+02
2.26553231e-02, 2.42881123e-02, -6.29346166e-03, 3.23142395e+02
2.30390076e-02, 2.37949658e-02, -5.51917218e-03, 3.24998901e+02
2.07347460e-02, 2.35573202e-02, -5.65255387e-03, 3.23898956e+02
2.42972653e-02, 2.36802679e-02, -6.49753772e-03, 3.26082581e+02
1.97524559e-02, 2.37333123e-02, -6.42001210e-03, 3.24283630e+02
2.17641238e-02, 2.29003038e-02, -5.41218603e-03, 3.23338867e+02
1.96709000e-02, 2.36275606e-02, -9.56062693e-03, 3.26397644e+02
2.02444680e-02, 2.40329988e-02, -7.56200589e-03, 3.22496613e+02
2.47056391e-02, 2.37782560e-02, -8.53818562e-03, 3.28137421e+02
2.19347533e-02, 2.37215254e-02, -1.08138537e-02, 3.28064148e+02
2.18136143e-02, 2.40114629e-02, -7.54651800e-03, 3.21664520e+02
2.41088830e-02, 2.35745627e-02, -9.72598232e-03, 3.27676697e+02
2.13666800e-02, 2.41078921e-02, -9.11891088e-03, 3.22731415e+02
2.04487592e-02, 2.35066731e-02, -1.03231370e-02, 3.26921722e+02
1.92617569e-02, 2.27238573e-02, -7.75602506e-03, 3.24052216e+02
2.46886089e-02, 2.26890910e-02, -8.00025649e-03, 3.26429108e+02
2.44901516e-02, 2.26991009e-02, -6.76611578e-03, 3.25603485e+02
2.30290219e-02, 2.38252729e-02, -1.04840212e-02, 3.27377991e+02
2.38858871e-02, 2.28496715e-02, -5.94320055e-03, 3.25410095e+02
2.24417355e-02, 2.18882132e-02, -5.36802877e-03, 3.23450104e+02
2.34676804e-02, 2.18577348e-02, -5.62833110e-03, 3.24543793e+02
1.93158481e-02, 2.18446217e-02, -7.31359981e-03, 3.23368591e+02
2.01015789e-02, 2.26896349e-02, -6.10172562e-03, 3.23365662e+02
1.99720636e-02, 2.19736136e-02, -9.98699013e-03, 3.25918945e+02
1.92941576e-02, 2.28297208e-02, -8.74538999e-03, 3.25170380e+02
1.94963180e-02, 2.18933914e-02, -9.09344107e-03, 3.24472626e+02
2.34447867e-02, 2.19751820e-02, -1.02756089e-02, 3.26329468e+02
2.36935616e-02, 2.27671713e-02, -1.01297824e-02, 3.26951050e+02
2.44796034e-02, 2.18810085e-02, -9.15457029e-03, 3.26303467e+02
2.10792832e-02, 2.29235310e-02, -1.05818706e-02, 3.27246918e+02
2.14907359e-02, 2.19854247e-02, -1.07918894e-02, 3.27122498e+02
2.28549726e-02, 2.29405873e-02, -1.05445674e-02, 3.26670868e+02
2.25426629e-02, 2.19721664e-02, -1.07109975e-02, 3.26476563e+02
2.13061254e-02, 2.00247485e-02, -5.43221785e-03, 3.21513580e+02
1.97580382e-02, 2.02164240e-02, -6.33078255e-03, 3.22000092e+02
1.94311962e-02, 2.10472122e-02, -6.73587527e-03, 3.22998474e+02
2.11132206e-02, 2.09543705e-02, -5.43045066e-03, 3.22120636e+02
2.05204207e-02, 2.18710471e-02, -5.65637322e-03, 3.22867889e+02
2.47245394e-02, 2.10815258e-02, -7.72613473e-03, 3.25212006e+02
2.43090279e-02, 2.01029070e-02, -6.86272047e-03, 3.23392914e+02
2.41565313e-02, 2.18849499e-02, -6.39176369e-03, 3.24552551e+02
1.96495540e-02, 2.01958641e-02, -9.53355338e-03, 3.24120514e+02
2.19271649e-02, 2.01012623e-02, -1.05955079e-02, 3.24037537e+02
1.99132711e-02, 2.10604072e-02, -9.79003403e-03, 3.24547272e+02
1.92730725e-02, 1.90382991e-02, -7.91997928e-03, 3.21464508e+02
2.43512578e-02, 1.93986725e-02, -9.45321564e-03, 3.24649170e+02
2.47047599e-02, 2.02318206e-02, -7.83676840e-03, 3.24641174e+02
2.28270870e-02, 2.00606398e-02, -5.50452620e-03, 3.22259827e+02
2.39324663e-02, 1.91802662e-02, -1.01216864e-02, 3.25234161e+02
2.38908995e-02, 2.09589731e-02, -9.91764199e-03, 3.25658020e+02
2.27991268e-02, 1.95934419e-02, -1.06786015e-02, 3.24809418e+02
1.99180581e-02, 1.80338323e-02, -9.86768957e-03, 3.22405060e+02
1.96332037e-02, 1.93402041e-02, -6.69678207e-03, 3.21089935e+02
2.00246014e-02, 1.94539987e-02, -6.06431486e-03, 3.21243683e+02
2.01821402e-02, 1.72924437e-02, -6.16721623e-03, 3.19539307e+02
2.27001105e-02, 1.76638085e-02, -5.43117663e-03, 3.20485596e+02
2.47061327e-02, 1.83467660e-02, -8.13237205e-03, 3.22984131e+02
2.44026948e-02, 1.79410670e-02, -9.62482393e-03, 3.24244598e+02
2.43068412e-02, 1.86766665e-02, -9.68950521e-03, 3.24364502e+02
2.26988532e-02, 1.80950593e-02, -1.05171427e-02, 3.23257721e+02
2.04700455e-02, 1.89091191e-02, -1.02400472e-02, 3.23025299e+02
2.42661797e-02, 1.65013727e-02, -6.53026905e-03, 3.21006042e+02
2.30573509e-02, 1.62847843e-02, -5.45045035e-03, 3.20119049e+02
1.94282439e-02, 1.71041917e-02, -8.22739396e-03, 3.19908325e+02
2.46668458e-02, 1.61620621e-02, -7.79833272e-03, 3.21189819e+02
2.45955233e-02, 1.65444463e-02, -8.61914828e-03, 3.21329651e+02
2.28840783e-02, 1.70096159e-02, -1.05358334e-02, 3.22554871e+02
2.36444734e-02, 1.60738118e-02, -9.99463908e-03, 3.22155548e+02
1.96653884e-02, 1.54585373e-02, -9.38339811e-03, 3.19773376e+02
1.95798203e-02, 1.52368909e-02, -6.85423100e-03, 3.18632263e+02
2.42675766e-02, 1.50941610e-02, -9.65084042e-03, 3.21775513e+02
2.47300286e-02, 1.53715210e-02, -7.93032628e-03, 3.20500946e+02
2.06584055e-02, 1.53629910e-02, -1.02576707e-02, 3.20200836e+02
2.02265680e-02, 1.63540486e-02, -9.88003425e-03, 3.20413605e+02
2.24717017e-02, 1.53075755e-02, -5.29620564e-03, 3.19088562e+02
2.04024129e-02, 1.55522721e-02, -5.76995360e-03, 3.18535187e+02
2.45440882e-02, 1.42470757e-02, -6.86861109e-03, 3.20042114e+02
2.37728264e-02, 1.42556801e-02, -5.98016288e-03, 3.18746277e+02
2.33286060e-02, 1.52381910e-02, -5.64953592e-03, 3.19227844e+02
1.92090478e-02, 1.43331764e-02, -8.12317245e-03, 3.18547882e+02
2.24330835e-02, 1.43182985e-02, -1.07181482e-02, 3.20856415e+02
2.35138983e-02, 1.52037982e-02, -1.02161337e-02, 3.21331818e+02
2.11497303e-02, 1.45276915e-02, -5.45334397e-03, 3.18079224e+02
2.17709318e-02, 1.32365329e-02, -5.32661891e-03, 3.17033325e+02
2.38730758e-02, 1.32877659e-02, -9.80886351e-03, 3.19446106e+02
2.45940499e-02, 1.32880174e-02, -7.77280657e-03, 3.18772278e+02
2.44908426e-02, 1.35044074e-02, -9.13158245e-03, 3.19816376e+02
2.07812805e-02, 1.34347863e-02, -1.03514269e-02, 3.18893921e+02
1.93373356e-02, 1.24019505e-02, -8.31743330e-03, 3.16805634e+02
1.93078909e-02, 1.36371637e-02, -8.17806181e-03, 3.17692596e+02
1.97100732e-02, 1.23933069e-02, -9.40130558e-03, 3.17238770e+02
2.02470869e-02, 1.20381508e-02, -5.98887587e-03, 3.16020996e+02
1.96151435e-02, 1.36270523e-02, -6.81200763e-03, 3.17145569e+02
2.10484117e-02, 1.35868182e-02, -5.44465426e-03, 3.17416901e+02
2.46218443e-02, 1.17934523e-02, -7.39088561e-03, 3.17519348e+02
2.25375704e-02, 1.18056638e-02, -5.47905080e-03, 3.16052368e+02
2.34737396e-02, 1.26500539e-02, -5.72462194e-03, 3.17425934e+02
2.40983330e-02, 1.14047378e-02, -9.76826623e-03, 3.18607727e+02
1.93044469e-02, 1.14541501e-02, -7.87843578e-03, 3.16042847e+02
2.23382544e-02, 1.17539410e-02, -1.07458793e-02, 3.18812347e+02
2.06725579e-02, 1.24981962e-02, -1.02862502e-02, 3.18004578e+02
2.09819525e-02, 1.15423026e-02, -1.03515647e-02, 3.17282013e+02
2.25369968e-02, 1.24856709e-02, -1.07623013e-02, 3.19956329e+02
1.98891461e-02, 1.08652217e-02, -9.50644631e-03, 3.16254669e+02
2.45017093e-02, 9.91160423e-03, -7.26378942e-03, 3.16103058e+02
2.45119184e-02, 1.09791346e-02, -7.06928642e-03, 3.16927917e+02
2.36726347e-02, 1.00300536e-02, -5.95055288e-03, 3.15336609e+02
2.35970858e-02, 1.17951725e-02, -5.67500247e-03, 3.17274261e+02
2.42623668e-02, 9.93430149e-03, -9.36117955e-03, 3.16992706e+02
2.44690441e-02, 1.10165905e-02, -9.23577975e-03, 3.18141754e+02
1.97086465e-02, 9.98763926e-03, -6.85918517e-03, 3.14294830e+02
2.14706454e-02, 1.01277670e-02, -5.38106589e-03, 3.14967682e+02
2.31452137e-02, 1.08908759e-02, -5.56474412e-03, 3.15826660e+02
2.29874291e-02, 9.11737327e-03, -5.47971437e-03, 3.14656281e+02
2.32177023e-02, 9.59481765e-03, -1.02499574e-02, 3.16550873e+02
2.21285634e-02, 1.07667753e-02, -1.06583089e-02, 3.17780457e+02
1.93568990e-02, 9.77747142e-03, -8.03883933e-03, 3.14883392e+02
2.06268542e-02, 1.00477254e-02, -1.01972558e-02, 3.16313202e+02
1.93750132e-02, 8.89126118e-03, -8.58439784e-03, 3.14522278e+02
