
[Name]
finFluid2

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
-2.40094606e-02, -1.81275532e-02, 9.66341421e-03, 3.00606476e+02
-1.97811332e-02, 7.32950587e-03, 6.59698201e-03, 3.13006775e+02
-1.96927842e-02, 7.45559996e-03, 9.29980632e-03, 3.14192322e+02
-2.08884124e-02, -1.81739163e-02, 1.04129091e-02, 3.00560303e+02
-2.45743040e-02, 7.26023829e-03, 7.84766581e-03, 3.14871124e+02
-2.47024465e-02, -1.79927330e-02, 7.99122360e-03, 3.00660126e+02
-2.26037260e-02, -1.80050135e-02, 1.06032118e-02, 3.00598511e+02
-2.36307327e-02, 7.41182175e-03, 1.01644602e-02, 3.15988953e+02
-1.93151366e-02, -1.83163416e-02, 7.65322382e-03, 3.00451233e+02
-2.10148469e-02, -1.83516461e-02, 5.46733662e-03, 3.00440521e+02
-2.46109162e-02, -1.84088200e-02, 7.32663693e-03, 3.00517456e+02
-2.26705167e-02, -1.89646278e-02, 1.06790476e-02, 3.00467468e+02
-2.46274024e-02, -1.91933922e-02, 8.82497150e-03, 3.00467316e+02
-2.24796366e-02, 8.40466563e-03, 5.41121187e-03, 3.14386353e+02
-2.08742786e-02, 8.59495997e-03, 5.64911542e-03, 3.13863678e+02
-2.01950204e-02, 8.48177634e-03, 9.94603708e-03, 3.15443176e+02
-2.36931276e-02, -1.89890414e-02, 5.96947456e-03, 3.00367310e+02
-1.97087117e-02, 8.40514805e-03, 6.81057293e-03, 3.13503326e+02
-1.93655621e-02, 8.67784955e-03, 8.38306639e-03, 3.14805756e+02
-2.19383091e-02, 8.60156678e-03, 1.07083386e-02, 3.16414948e+02
-2.15530358e-02, -1.92555487e-02, 1.08033232e-02, 3.00435028e+02
-2.45532896e-02, 8.39678943e-03, 7.75629748e-03, 3.15592499e+02
-2.42554434e-02, 8.61752313e-03, 9.21399612e-03, 3.17049225e+02
-2.23675929e-02, -1.99035108e-02, 5.47077041e-03, 3.00192108e+02
-2.41617393e-02, -1.99434664e-02, 6.49710093e-03, 3.00234009e+02
-2.04173494e-02, -1.99819114e-02, 5.85497916e-03, 3.00188171e+02
-2.29798909e-02, -2.08450854e-02, 1.05208810e-02, 3.00181091e+02
-2.33795699e-02, 9.77659971e-03, 5.81249129e-03, 3.15647369e+02
-2.12843455e-02, 9.72322002e-03, 1.04989940e-02, 3.16526215e+02
-2.18494777e-02, -2.09257510e-02, 5.39668789e-03, 3.00112061e+02
-1.97852273e-02, 1.07886959e-02, 6.77338522e-03, 3.15025391e+02
-1.95896812e-02, 1.08966744e-02, 9.24467109e-03, 3.16657654e+02
-2.45914124e-02, 1.08867595e-02, 7.88415782e-03, 3.17952087e+02
-2.40493119e-02, 1.10016614e-02, 9.61003639e-03, 3.18290466e+02
-2.33005453e-02, -2.36255247e-02, 1.03845876e-02, 3.00015259e+02
-2.07712706e-02, 1.23845655e-02, 5.68023603e-03, 3.16736481e+02
-2.24242453e-02, 1.18883858e-02, 5.45118097e-03, 3.16818207e+02
-1.93609223e-02, 1.22238435e-02, 8.37609917e-03, 3.16878876e+02
-2.00375356e-02, 1.18446806e-02, 9.86644998e-03, 3.17898071e+02
-2.18490306e-02, 1.16889775e-02, 1.05984975e-02, 3.18209839e+02
-1.97133813e-02, 1.19811902e-02, 6.64864248e-03, 3.16301727e+02
-2.45358814e-02, 1.20161371e-02, 7.71866133e-03, 3.18551270e+02
