Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
-9.61525366e-04, 1.22245979e+01, 2.75477581e-02, -9.99999978e-03, -2.46718414e-02, -8.57838057e-03
-9.96044837e-05, 1.21751099e+01, 3.18873562e-02, -9.99999978e-03, -2.52863578e-02, -8.65015201e-03
2.32198555e-03, 1.22324381e+01, -1.98482093e-03, -9.99999978e-03, -2.50620432e-02, -8.05494748e-03
-6.55344687e-04, 1.23779926e+01, -2.61098519e-03, -9.99999978e-03, -2.33361013e-02, -8.08404014e-03
2.84358393e-04, 1.23537474e+01, -1.65159553e-02, -9.99999978e-03, -2.35143788e-02, -7.68825132e-03
1.92809943e-03, 1.23355637e+01, 7.43879296e-04, -9.99999978e-03, -2.40243170e-02, -8.10179114e-03
2.58785929e-03, 1.23235340e+01, -1.86888326e-04, -9.99999978e-03, -2.41444837e-02, -8.07600189e-03
2.42590671e-03, 1.23093090e+01, -2.84962263e-02, -9.99999978e-03, -2.38080807e-02, -7.38590769e-03
-8.05516262e-04, 1.23901796e+01, 7.60798901e-03, -9.99999978e-03, -2.31014062e-02, -8.27740133e-03
-1.56688772e-03, 1.24533892e+01, 1.30477035e-03, -9.99999978e-03, -2.24836897e-02, -8.07184260e-03
-1.71826035e-03, 1.23784332e+01, 2.81935148e-02, -9.99999978e-03, -2.27601342e-02, -8.75367783e-03
1.82198710e-03, 1.23227425e+01, 6.61297701e-03, -9.99999978e-03, -2.40928605e-02, -8.22644122e-03
-1.15398178e-03, 1.23921957e+01, -5.12882555e-03, -9.99999978e-03, -2.30508037e-02, -7.95532204e-03
-7.83024705e-04, 1.30048380e+01, 6.67721033e-03, -9.99999978e-03, -5.03956527e-03, -8.82692542e-03
-6.07732742e-04, 1.29895964e+01, 7.22204987e-03, -9.99999978e-03, -4.98770410e-03, -8.89794063e-03
-7.27013918e-04, 1.30050220e+01, 6.64326688e-03, -9.99999978e-03, -4.96870186e-03, -8.82206112e-03
