Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
7.76784914e-03, 1.35444965e+01, 5.19127003e-04, -9.99999978e-03, 4.41524293e-03, -1.21553177e-02
-4.15264536e-03, 1.35594501e+01, 1.01907514e-02, -9.99999978e-03, 5.61317708e-03, -1.21636819e-02
3.80010530e-03, 1.35313683e+01, 6.93126931e-05, -9.99999978e-03, 7.91523978e-03, -1.21552609e-02
-4.60783252e-03, 1.35394287e+01, 1.62180066e-02, -9.99999978e-03, 9.11317207e-03, -1.21636819e-02
8.95825773e-03, 1.35450191e+01, 2.56053725e-04, -9.99999978e-03, 4.15592687e-03, -1.21630952e-02
-6.22523995e-03, 1.35792999e+01, 1.04453918e-02, -9.99999978e-03, 5.92177501e-03, -1.21504311e-02
4.47458588e-03, 1.35331154e+01, -1.47735502e-03, -9.99999978e-03, 7.65705807e-03, -1.21629462e-02
-5.66848461e-03, 1.35571861e+01, 1.76658351e-02, -9.99999978e-03, 9.42179374e-03, -1.21504292e-02
-4.51891031e-03, 1.35737658e+01, 7.74156209e-03, -9.99999978e-03, 6.22733962e-03, -1.21583119e-02
1.07176020e-04, 1.35460224e+01, -3.69850337e-03, -9.99999978e-03, 6.97500631e-03, -1.21492920e-02
-3.52299609e-03, 1.35510139e+01, 1.35406582e-02, -9.99999978e-03, 9.72736161e-03, -1.21583100e-02
2.63231969e-03, 1.35200539e+01, -1.38739776e-03, -9.99999978e-03, 1.04750302e-02, -1.21492958e-02
-5.60106570e-03, 1.18209400e+01, 8.90909322e-03, -9.99999978e-03, 5.19713573e-03, -1.23382285e-02
5.22112660e-03, 1.18366318e+01, 1.92964566e-04, -9.99999978e-03, 4.63004876e-03, -1.23432716e-02
-6.93574408e-03, 1.18053284e+01, 1.04760258e-02, -9.99999978e-03, 8.69714376e-03, -1.23382173e-02
1.99679518e-03, 1.18230114e+01, 5.53210266e-04, -9.99999978e-03, 8.12983979e-03, -1.23432484e-02
7.97972735e-03, 1.18439732e+01, -1.88157731e-03, -9.99999978e-03, 4.41500265e-03, -1.23350462e-02
-5.98820671e-03, 1.18586054e+01, 1.26503836e-02, -9.99999978e-03, 5.61272493e-03, -1.23434896e-02
4.42065299e-03, 1.18307571e+01, -2.35647149e-03, -9.99999978e-03, 7.91496504e-03, -1.23350034e-02
-6.23230543e-03, 1.18392630e+01, 1.69296172e-02, -9.99999978e-03, 9.11271293e-03, -1.23434886e-02
9.39811394e-03, 1.18445988e+01, -2.81046540e-03, -9.99999978e-03, 4.15353989e-03, -1.23431413e-02
-7.96416402e-03, 1.18804998e+01, 1.27864322e-02, -9.99999978e-03, 5.92161389e-03, -1.23299677e-02
5.26860822e-03, 1.18321486e+01, -4.27405722e-03, -9.99999978e-03, 7.65417004e-03, -1.23430435e-02
-7.24093895e-03, 1.18591232e+01, 1.79108344e-02, -9.99999978e-03, 9.42162424e-03, -1.23299658e-02
-5.61403017e-03, 1.18752241e+01, 8.08392931e-03, -9.99999978e-03, 6.22628024e-03, -1.23381577e-02
5.96140511e-04, 1.18448105e+01, -7.47759407e-03, -9.99999978e-03, 6.97486429e-03, -1.23288967e-02
-4.42910660e-03, 1.18530331e+01, 1.22608729e-02, -9.99999978e-03, 9.72629525e-03, -1.23381568e-02
3.05940397e-03, 1.18188248e+01, -5.38069056e-03, -9.99999978e-03, 1.04748802e-02, -1.23288995e-02
-7.53990002e-03, 1.03243914e+01, 1.07227247e-02, -9.99999978e-03, 5.19705191e-03, -1.24878194e-02
4.91054449e-03, 1.03430605e+01, -1.26392790e-03, -9.99999978e-03, 4.63183224e-03, -1.24932816e-02
-8.49145930e-03, 1.03095856e+01, 1.17899440e-02, -9.99999978e-03, 8.69706739e-03, -1.24878120e-02
2.14222353e-03, 1.03300018e+01, -1.05047389e-03, -9.99999978e-03, 8.13172385e-03, -1.24932649e-02
8.09747260e-03, 1.03514891e+01, -4.00699768e-03, -9.99999978e-03, 4.41479264e-03, -1.24848094e-02
