"filename", "language", "CSV", "comment", "blank", "total"
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP10_internalXZ2_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 1056, 0, 3, 1059
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP10_internalYZ2_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 4997, 0, 3, 5000
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP98_internalXZ2_3,000-3,000-12,000-12,000-10,000-10,000-11,000-11,000.csv", "CSV", 507, 0, 3, 510
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP98_internalYZ2_3,000-3,000-12,000-12,000-10,000-10,000-11,000-11,000.csv", "CSV", 4424, 0, 3, 4427
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP99_internalXZ2_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 808, 0, 3, 811
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP99_internalYZ2_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 4800, 0, 3, 4803
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP100_solidXZ_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 2881, 0, 3, 2884
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP100_solidYZ1_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 1928, 0, 3, 1931
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP100_solidYZ2_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 1824, 0, 3, 1827
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP101_solidXZ_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 2870, 0, 3, 2873
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP101_solidYZ1_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 2032, 0, 3, 2035
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP101_solidYZ2_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 1772, 0, 3, 1775
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP102_solidXZ_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 2861, 0, 3, 2864
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP102_solidYZ1_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 1928, 0, 3, 1931
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP102_solidYZ2_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 1720, 0, 3, 1723
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP103_solidXZ_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 2879, 0, 3, 2882
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP103_solidYZ2_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 1772, 0, 3, 1775
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP104_solidXZ_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 2862, 0, 3, 2865
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP104_solidYZ2_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 1824, 0, 3, 1827
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP10_solidXZ_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 2868, 0, 3, 2871
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP10_solidYZ1_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 1876, 0, 3, 1879
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP10_solidYZ2_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 1980, 0, 3, 1983
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP98_solidXZ_3,000-3,000-12,000-12,000-10,000-10,000-11,000-11,000.csv", "CSV", 2919, 0, 3, 2922
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP98_solidYZ1_3,000-3,000-12,000-12,000-10,000-10,000-11,000-11,000.csv", "CSV", 2084, 0, 3, 2087
